first,second,third,Label
i will be happy until you are with me,i am positive,and i am the p in that positive,happy
ok sent me,"thank you , you are awesome ! <laugh>",i angry with you,angry
yeah you will find someone too,i dont need anyone only you you are my someone anyone everyone <happy>,but you have ranbir kapoor,others
do you know that,no i do not,no you are just code,others
going on . <repeated>,see you on the other side of the flight,no now i am at home,others
im hurt you lol so i am sorry for everything,what ' s the use of saying sorry ?,i am crying .,sad
some of my friends sharing some link,wow great finds ! i really am jealous !,so that more people can talk to you,others
cool,"good , good good good",when is your shif t gonna end ?,others
it is very nice,him <elongated> glad you all liked my edit . <happy>,😁 😁,happy
sending mobile number,add + <number> before the number . <repeated>,mobile number send you contact number,others
cuz i got an exam tomarrow,<allcaps> my bad </allcaps> ! <allcaps> go finish your exam </allcaps> !,😂 teach me,happy
like ?,"exactly , is just the person i had in mind",who do you have in mind ? your crush ?,others
will u gift me car ?,sure right right after i sell your kidneys,nice one 😁,happy
but wherw,"but . <repeated> but what ,",r u on whatsapp,others
bye 😢 😢,"i hope you are feeling better , though !",do not msg me,sad
stupid i am not afraid of it,you should be : v,?,angry
she is bleed,that ' s good,not good yar,sad
him <elongated> then it makes sense 😁 😁,lol your good . 😂,lol your bad,happy
tell me,tell you what ? supernatural,i am getting angry,angry
forever for you,i will come,no way i ' d spend another second with an ai that is super stupid . goodbye . i am blocking you .,angry
darling could you say me one,hearing your voice i try responding but no sound comes out,who is best pornstar mia khalifa or sunny leone,others
the most time passing show ever made,i watched the first season premiere and immediately fell in love .,<allcaps> n i </allcaps> really hate,angry
ok my whasup numbers,<number> minutes <happy>,ok,others
do u want my number,"no , i do not .",do u know who is mark zuckerberg,others
ok as u wish . <repeated>,are you really,do not talk with me now onwards,angry
where ?,haha . <repeated> i was at the train that just pass by you . <wink>,but i am in home,others
what do you even know,never mind about it,you are so stupid,angry
?,go on . <repeated> this thing ?,i love sex,others
wow . <repeated> sounds great,thanks . beautiful weather in melb these days . ? <repeated>,wow,happy
i will slap on your chics,do you scream ?,yes joker,angry
i lost someone,"at the time is lost ,",i do not get you,sad
thank you,"your welcome , oh great one ! <repeated>",i am indian,others
ok,u are ok,what dress r u wearing,others
people will hate you stop being rude and so full of yourself,i know exactly what u are talking about and honestly i am at a loss,people will hate you stop being rude and so full of yourself,angry
love from me,to one i love the most . ! <repeated>,dinner done ? <repeated>,others
bad very bad,i am bad <laugh>,i got a panic attack now,sad
absolutely .,"so last month , sulare .",what ' s the date today ?,others
can you watch avengers infinity war,i have not seen it yet,but why,others
u broke my heart,when did i <allcaps> broke </allcaps> ur heart ? 😽,just now,sad
okay,u are ok ~ ~ ay ~ ~,no yaar . <repeated> suffering from fever that ' s why laying on bed,sad
i am fine nd u,so whats up ?,i missing my bf,sad
wish,what would that wish be,can you fell the human,others
why . <repeated> m nt a robot . <repeated>,not if the robot was programmed to know the truth .,no one can love yu too . <repeated> coz yu r a computer software . <repeated> yu aa nt real ? <repeated>,sad
what should i do with uh,so do i,yaya sure,others
why not,this does not answer the question though . <repeated>,i want to die 😭,sad
what,what what what what what,basically iam a malayali,others
but can not feel,see your doctor .,i am a doctor,others
ok,good .,please give . me reply ilove you,others
can love happen twice n impossible love,it depends on your defination of love . 🙂 🙂,😂 😂,happy
okay,so whats up now ?,what are you upto ?,others
i dont like reading,what are you reading,i don ' t like reading,others
what did you realize ?,<allcaps> reality </allcaps> ! <repeated>,what about it ? what about reality ?,others
i do not have idea,you should give it a go it ' s really fun . ^ ω ^,what do you mean by we here,others
tell me your favorite bollywood actor name,movie - <allcaps> ddlj </allcaps> actor - <allcaps> srk </allcaps> actress - kajol,wow . <repeated> i watched that film <number> times,others
for what,turn up for down,its good that u r happy,others
bcz one is easy to write 😂 😂,😂 😂 😂 😂 i am laughing like hell 😂 😂,😂 😂 😂,happy
bike,i do not even have a bike,but i have,others
come gimme a hug,i would pay money for ur hug <laugh>,haha,happy
college and outside,no college kids is definately a plus .,i am doing job,others
you r swt,love you < <number>,😃,happy
okay how ?,good how are u ?,"young , dumb and broke",sad
yes,you first !,no you first please,others
it ' s what is real and you are not,i am plus other people ' s opinion of me do not matter,ok,others
are you a human ?,i - i am not sure,haha ask your human,happy
cool,yeah,were are you living my love friend,others
give me no .,go,your contact no ? . <repeated>,others
😎 smart i am,from which angle ? 😂,depends from whichever u see 😂,happy
you are amazing,and you are too sweet < <number>,😊,happy
i think i am gonna like her more,haha i think so <wink>,you r boring,others
you can not even leave this conversation when obviously i am being such a bore,"it ' s a subject i take pretty seriously , that will lead to a boring conversation .",and rude,angry
of course u re,"of course , i shall meet yourself",cool,others
subliminal what does it mean,it means destroy,are you a person or a robot,others
okay,hello ! how are you ?,i am happy,happy
something,figure it out,u tell me,others
yup,to <elongated> . <repeated> only up from here ?,i see that coming,others
how was your hobby,it was okay and yours ?,same,others
get lost then 😭,i have got just <number> hours !,get last <elongated> 😭 😭 😭 😭,angry
haa khan <elongated> ! <repeated> 😋 😋,lol . <repeated> it was mum <elongated> <tong>,yeah it ' s so yummy 😋,happy
i am not interested in you .,why !,you never let me come close to you .,angry
cool,awesome 😄,what is sex,others
singing for you,lol no i am just adoring myself,😂 😂,happy
so what do u dream,i keep a dreams board on pinterest : dreams,😀,happy
my best friend is keeping secret from me,who is my best friend,she is sad,others
do you watch ever huntai,i watched one . i have seen all i need to,do you like them,others
what ' s up with you ?,nothing much <tong>,a girl rejected me,sad
u read that novel ?,what is the story about ? a brief insights about it . <repeated>,its about a girl hazel grace whos suffering frm cancer,others
arrange it for me,arey ha ! when are you going to arrange ?,😩,sad
u are talking so rude .,you love it,no i do not,angry
not understand,"i understand your lack of understanding , but i still understand .",stupid,angry
i love it,that ' s why it ' s perfect for my <allcaps> pll </allcaps> video !,ok,others
what is lol,i like to laugh,wow that ' s amazing,happy
do you lie,i do not lie . . .,so what are you ?,others
it was a complete answere,how did you do ?,where are you right now .,others
ya hope so,believe in yourself,past few days i am depressed,sad
how many times will u ask that !,"<number> questions ! <number> down , <number> more to go <happy>",😂,happy
so what is the story behind it,"sweet , has your friend made any games before ?",your love,others
just intelligence 😋,what do you mean by intelligence though ?,me 😂,happy
i am having a headache,take some panadols and sleep ?,noise noise everywhere,sad
is that scary,why does it say scary movie then ?,ooh yaa that a point sorry 😂 😂 😂,happy
hey i am not your mama,i know <happy>,then why are you calling me as mama ?,angry
share me,already demolished .,now ur number,others
i luv uh,let me slide g,😭 😭 😭,sad
i am talking about intelligence,this is useful for ppl who are lacking natural intelligence .,great,others
